Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,225024781,2886.953825,3821470,49.02752214,451361,4636153,59.47949188,60464,0.775722457,7848
United States of America,Americas,40804998,12327.7,1009797,305.07,129420,655172,197.94,11415,3.45,2073
India,South-East Asia,33289579,2412.28,230736,16.72,25404,443213,32.12,2171,0.16,339
Brazil,Americas,20999779,9879.49,109000,51.28,10615,586851,276.09,3223,1.52,293
United Kingdom,Europe,7256563,10689.34,237632,350.05,30283,134261,197.77,987,1.45,61
Russia,Europe,7176085,4917.33,128205,87.85,17837,194249,133.11,5464,3.74,781
France,Europe,6704512,10308.39,64637,99.38,2062,113652,174.74,523,0.8,86
Turkey,Europe,6682864,7923.81,163848,194.27,24613,60117,71.28,1740,2.06,231
Iran,Eastern Mediterranean,5318327,6331.87,161341,192.09,22541,114759,136.63,3502,4.17,448
Argentina,Americas,5224534,11559.78,20732,45.87,0,113402,250.91,891,1.97,0
Colombia,Americas,4930249,9689.4,11600,22.8,1671,125647,246.93,369,0.73,55
Spain,Europe,4915265,10384.52,21310,45.02,686,85393,180.41,206,0.44,4
Italy,Europe,4609205,7728.19,34418,57.71,2792,129955,217.89,388,0.65,36
Indonesia,South-East Asia,4174216,1526.09,33582,12.28,4128,139415,50.97,2259,0.83,250
Germany,Europe,4089476,4917.2,72360,87.01,6325,92686,111.45,273,0.33,68
Mexico,Americas,3511882,2723.81,83498,64.76,5139,267748,207.66,4608,3.57,224
Poland,Europe,2894455,7625.39,3384,8.92,536,75433,198.73,41,0.11,8
South Africa,Africa,2860835,4823.64,36772,62,2640,85002,143.32,1385,2.34,125
Ukraine,Europe,2321156,5307.47,20652,47.22,3332,54457,124.52,403,0.92,97
Philippines,Western Pacific,2248071,2051.51,144775,132.12,20745,35307,32.22,970,0.89,162
Peru,Americas,2161086,6554.34,6052,18.36,759,198764,602.83,276,0.84,36
Malaysia,Western Pacific,1995771,6166.26,133584,412.73,16073,21124,65.27,2633,8.14,413
Netherlands,Europe,1972653,11332.15,16433,94.4,1777,18073,103.82,33,0.19,4
Iraq,Eastern Mediterranean,1954969,4860.39,32027,79.62,4204,21550,53.58,388,0.96,54
Czechia,Europe,1683802,15745.39,2707,25.31,487,30416,284.42,6,0.06,2
Chile,Americas,1644540,8602.86,3014,15.77,469,37253,194.88,145,0.76,21
Japan,Western Pacific,1644443,1300.2,63926,50.54,4898,16846,13.32,459,0.36,49
Canada,Americas,1538093,4075.27,18724,49.61,0,27170,71.99,149,0.39,0
Bangladesh,South-East Asia,1534440,931.72,14635,8.89,2074,27007,16.4,323,0.2,35
Thailand,South-East Asia,1406542,2015.1,98199,140.69,11786,14621,20.95,1338,1.92,136
Belgium,Europe,1210381,10504.55,10479,90.94,2,25473,221.07,43,0.37,2
Pakistan,Eastern Mediterranean,1207508,546.65,24590,11.13,2988,26787,12.13,555,0.25,67
Israel,Europe,1184054,13679.72,53547,618.64,7784,7406,85.56,161,1.86,23
Sweden,Europe,1138017,11019.19,6463,62.58,0,14703,142.37,1,0.01,0
Romania,Europe,1126582,5828.5,17506,90.57,3929,35132,181.76,328,1.7,96
Portugal,Europe,1056042,10256.91,8332,80.93,458,17866,173.53,56,0.54,5
Kazakhstan,Europe,918208,4890.14,26425,140.73,2825,15031,80.05,608,3.24,0
Morocco,Eastern Mediterranean,904647,2450.92,18639,50.5,0,13546,36.7,401,1.09,0
Serbia,Europe,823161,11883.88,39335,567.87,6249,7575,109.36,177,2.56,27
Hungary,Europe,815851,8350.98,2033,20.81,246,30102,308.12,28,0.29,4
Switzerland,Europe,810622,9366.35,13523,156.25,5,10529,121.66,27,0.31,0
Jordan,Eastern Mediterranean,807384,7913.1,5035,49.35,0,10548,103.38,71,0.7,0
Nepal,South-East Asia,779492,2675.28,7310,25.09,1180,10984,37.7,105,0.36,19
Cuba,Americas,753544,6652.86,56640,500.06,8342,6373,56.27,585,5.16,74
United Arab Emirates,Eastern Mediterranean,729518,7376.02,5278,53.36,632,2064,20.87,16,0.16,2
Austria,Europe,707875,7952.7,13966,156.9,1227,10627,119.39,31,0.35,4
Tunisia,Eastern Mediterranean,685799,5802.7,10028,84.85,0,24244,205.13,343,2.9,0
Vietnam,Western Pacific,624547,641.62,87759,90.16,11172,15660,16.09,2275,2.34,381
Greece,Europe,616765,5754.18,14414,134.48,1608,14223,132.7,290,2.71,54
Lebanon,Eastern Mediterranean,613498,8988.4,5457,79.95,0,8192,120.02,78,1.14,0
Georgia,Europe,585036,14665.59,17114,429.01,3221,8287,207.74,370,9.28,54
Saudi Arabia,Eastern Mediterranean,546067,1568.53,700,2.01,75,8628,24.78,43,0.12,5
Guatemala,Americas,511457,2854.82,22919,127.93,1803,12754,71.19,439,2.45,89
Ecuador,Americas,505278,2863.89,1446,8.2,16,32448,183.91,96,0.54,4
Belarus,Europe,504961,5343.89,12562,132.94,1888,3929,41.58,82,0.87,12
Bolivia,Americas,495035,4240.85,2355,20.17,371,18587,159.23,75,0.64,5
Costa Rica,Americas,489784,9614.7,13075,256.67,0,5754,112.95,136,2.67,0
Sri Lanka,South-East Asia,488482,2281.21,16619,77.61,0,11431,53.38,927,4.33,0
Bulgaria,Europe,473270,6808.19,10560,151.91,1998,19661,282.83,512,7.37,139
Panama,Americas,462224,10712.61,2380,55.16,214,7137,165.41,51,1.18,6
Azerbaijan,Europe,461249,4549.18,15971,157.52,1157,6134,60.5,255,2.51,31
Paraguay,Americas,459291,6439.38,407,5.71,34,16102,225.75,107,1.5,5
Myanmar,South-East Asia,436527,802.29,16125,29.64,2421,16693,30.68,611,1.12,76
Kuwait,Eastern Mediterranean,410784,9618.95,371,8.69,0,2431,56.92,6,0.14,0
Slovakia,Europe,399218,7314.53,2731,50.04,474,12562,230.16,10,0.18,2
Palestine,Eastern Mediterranean,399174,7824.77,13287,260.46,0,4085,80.08,73,1.43,0
Uruguay,Americas,386701,11132.15,1041,29.97,139,6040,173.88,6,0.17,1
Croatia,Europe,385056,9488.43,6330,155.98,974,8456,208.37,71,1.75,9
Ireland,Europe,367536,7403.37,9612,193.62,877,5155,103.84,43,0.87,0
Dominican Rep.,Americas,353542,3259.08,1648,15.19,239,4018,37.04,6,0.06,4
Denmark,Europe,352798,6058.94,3358,57.67,425,2614,44.89,22,0.38,3
Honduras,Americas,350879,3542.58,7072,71.4,0,9319,94.09,296,2.99,0
Venezuela,Americas,347647,1222.56,7460,26.23,892,4203,14.78,105,0.37,11
Libya,Eastern Mediterranean,325221,4733.04,8424,122.6,1291,4441,64.63,98,1.43,14
Ethiopia,Africa,323715,281.58,7541,6.56,611,4967,4.32,182,0.16,38
Lithuania,Europe,309855,11089.66,6163,220.57,899,4721,168.96,98,3.51,10
Oman,Eastern Mediterranean,303163,5936.66,415,8.13,58,4089,80.07,11,0.22,0
Egypt,Eastern Mediterranean,292957,286.27,2562,2.5,0,16871,16.49,70,0.07,0
Slovenia,Europe,276457,13190.62,5915,282.22,282,4793,228.69,5,0.24,0
South Korea,Western Pacific,275910,538.16,12537,24.45,1497,2367,4.62,37,0.07,7
Moldova,Europe,275558,6830.95,4873,120.8,746,6536,162.02,91,2.26,15
Bahrain,Eastern Mediterranean,273743,16087.62,630,37.02,0,1388,81.57,0,0,0
Mongolia,Western Pacific,268983,8204.98,28045,855.48,0,976,29.77,0,0,0
Armenia,Europe,249803,8430.08,4038,136.27,657,5034,169.88,95,3.21,16
Kenya,Africa,243929,453.64,3499,6.51,204,4923,9.16,128,0.24,17
Qatar,Eastern Mediterranean,234773,8148.86,1017,35.3,131,604,20.96,1,0.03,0
Bosnia and Herz.,Europe,222161,6771.52,4799,146.27,181,10065,306.78,159,4.85,32
Zambia,Africa,207960,1131.2,793,4.31,22,3633,19.76,16,0.09,2
Algeria,Africa,200301,456.78,1988,4.53,233,5596,12.76,151,0.34,18
Nigeria,Africa,199538,96.8,5894,2.86,387,2619,1.27,131,0.06,21
Macedonia,Europe,183705,8817.64,3462,166.17,182,6277,301.29,180,8.64,18
Kyrgyzstan,Europe,177308,2717.7,626,9.6,82,2576,39.48,19,0.29,2
Norway,Europe,177256,3302.34,7464,139.06,3912,829,15.44,7,0.13,2
Puerto Rico,Americas,177088,6190.04,2698,94.31,298,3003,104.97,80,2.8,5
Botswana,Africa,165644,7043.8,3458,147.05,1979,2337,99.38,28,1.19,12
Uzbekistan,Europe,165421,494.25,4313,12.89,531,1164,3.48,39,0.12,5
Albania,Europe,157436,5470.71,5937,206.3,410,2548,88.54,29,1.01,5
Kosovo,Europe,157218,8755.41,4603,256.34,259,2799,155.88,152,8.46,14
Afghanistan,Eastern Mediterranean,154180,396.06,554,1.42,86,7171,18.42,27,0.07,2
Mozambique,Africa,149259,477.55,1205,3.86,52,1894,6.06,13,0.04,2
Estonia,Europe,147357,11088.01,2967,223.25,473,1313,98.8,8,0.6,0
Latvia,Europe,147328,7722.91,2385,125.02,135,2613,136.97,21,1.1,4
Finland,Europe,134305,2430.73,3251,58.84,454,1039,18.8,0,0,0
Zimbabwe,Africa,126399,850.43,728,4.9,130,4543,30.57,50,0.34,5
Namibia,Africa,126341,4972.28,682,26.84,51,3436,135.23,24,0.94,1
Ghana,Africa,123874,398.66,2567,8.26,353,1098,3.53,29,0.09,2
China,Western Pacific,123642,8.4,357,0.02,98,5688,0.39,3,0,1
Montenegro,Europe,122359,19481.99,3896,620.32,441,1800,286.6,43,6.85,2
Cyprus,Europe,118090,13298.35,1099,123.76,159,532,59.91,16,1.8,4
Cambodia,Western Pacific,100133,598.92,4305,25.75,629,2049,12.26,79,0.47,9
El Salvador,Americas,99701,1537.12,3634,56.03,1579,3032,46.75,63,0.97,10
Uganda,Africa,99701,217.97,0,0,0,3031,6.63,0,0,0
Rwanda,Africa,93079,718.63,4397,33.95,459,1175,9.07,70,0.54,3
Cameroon,Africa,84210,317.22,0,0,0,1357,5.11,0,0,0
Maldives,South-East Asia,82950,15345.65,686,126.91,0,227,41.99,0,0,0
Luxembourg,Europe,76798,12265.93,553,88.32,4,834,133.2,2,0.32,0
Jamaica,Americas,76451,2581.79,4464,150.75,594,1734,58.56,97,3.28,3
Australia,Western Pacific,75324,295.39,12190,47.8,1751,1098,4.31,54,0.21,7
Senegal,Africa,73500,438.97,273,1.63,22,1833,10.95,25,0.15,2
Singapore,Western Pacific,72294,1235.72,3393,58,607,58,0.99,3,0.05,0
Malawi,Africa,61137,319.59,285,1.49,24,2242,11.72,25,0.13,4
Côte d'Ivoire,Africa,58148,220.44,1092,4.14,139,520,1.97,43,0.16,5
Dem. Rep. Congo,Africa,56215,62.77,338,0.38,0,1068,1.19,7,0.01,0
Réunion,Africa,52643,5879.85,2297,256.56,992,358,39.99,16,1.79,4
Guadeloupe,Americas,51485,12867.26,1970,492.35,1970,695,173.7,89,22.24,89
Angola,Africa,50446,153.49,1656,5.04,0,1339,4.07,57,0.17,0
Fiji,Western Pacific,49113,5478.64,1120,124.94,127,538,60.01,18,2.01,3
Trinidad and Tobago,Americas,47130,3367.66,1416,101.18,135,1376,98.32,46,3.29,8
Eswatini,Africa,44976,3876.69,742,63.96,113,1179,101.62,23,1.98,7
French Polynesia,Western Pacific,43711,15560.61,0,0,0,575,204.69,62,22.07,24
Madagascar,Africa,42873,154.83,0,0,0,956,3.45,0,0,0
Martinique,Americas,39651,10566.13,1035,275.81,278,563,150.03,64,17.05,7
Sudan,Eastern Mediterranean,37951,86.55,74,0.17,0,2829,6.45,38,0.09,0
French Guiana,Americas,37210,12458.07,1175,393.39,351,230,77,7,2.34,3
Malta,Europe,36793,7150.33,281,54.61,35,449,87.26,4,0.78,0
Cabo Verde,Africa,36640,6590.08,1016,182.74,52,322,57.92,8,1.44,1
Mauritania,Africa,34950,751.67,653,14.04,179,760,16.35,23,0.49,11
Suriname,Americas,33573,5723.01,2718,463.32,497,764,130.23,26,4.43,3
Guinea,Africa,30047,228.79,442,3.37,0,368,2.8,27,0.21,0
Syria,Eastern Mediterranean,29498,168.55,820,4.69,0,2077,11.87,33,0.19,0
Guyana,Americas,27976,3556.79,1466,186.38,194,683,86.83,42,5.34,9
Gabon,Africa,26903,1208.72,1015,45.6,265,173,7.77,8,0.36,3
Togo,Africa,23778,287.22,1798,21.72,160,207,2.5,17,0.21,2
Haiti,Americas,21271,186.55,132,1.16,93,596,5.23,8,0.07,5
Seychelles,Africa,20593,20939.12,312,317.24,0,106,107.78,3,3.05,0
Mayotte,Africa,20067,7355.53,142,52.05,26,176,64.51,1,0.37,1
Benin,Africa,19841,163.66,3909,32.24,0,141,1.16,10,0.08,0
Bahamas,Americas,19601,4984.44,621,157.92,86,463,117.74,17,4.32,0
Timor-Leste,South-East Asia,18715,1419.48,827,62.73,118,98,7.43,13,0.99,2
Papua New Guinea,Western Pacific,18542,207.24,266,2.97,130,204,2.28,10,0.11,8
Somalia,Eastern Mediterranean,18373,115.6,426,2.68,0,1023,6.44,18,0.11,0
Laos,Western Pacific,17555,241.29,1497,20.58,198,16,0.22,0,0,0
Tajikistan,Europe,17484,183.32,79,0.83,0,125,1.31,0,0,0
Belize,Americas,17405,4377.21,655,164.73,0,373,93.81,10,2.51,0
Curaçao,Americas,15713,9575.67,243,148.09,117,154,93.85,5,3.05,1
Andorra,Europe,15096,19537.95,27,34.94,13,130,168.25,0,0,0
Aruba,Americas,15076,14120.6,234,219.17,85,155,145.18,5,4.68,1
Mali,Africa,14985,74,75,0.37,1,543,2.68,4,0.02,0
Lesotho,Africa,14395,671.96,0,0,0,403,18.81,0,0,0
Burundi,Africa,14189,119.33,1119,9.41,0,12,0.1,2,0.02,0
Burkina Faso,Africa,13950,66.74,99,0.47,8,171,0.82,0,0,0
Mauritius,Africa,13782,1083.69,1166,91.68,493,45,3.54,11,0.86,2
Congo,Africa,13701,248.29,113,2.05,0,183,3.32,0,0,0
Djibouti,Eastern Mediterranean,11860,1200.4,75,7.59,0,157,15.89,0,0,0
S. Sudan,Africa,11693,104.46,159,1.42,79,120,1.07,0,0,0
Guam,Western Pacific,11615,6881.94,760,450.3,237,168,99.54,15,8.89,9
Central African Rep.,Africa,11309,234.15,13,0.27,0,100,2.07,0,0,0
Iceland,Europe,11307,3105.18,244,67.01,60,33,9.06,0,0,0
Equatorial Guinea,Africa,10498,748.26,1021,72.77,0,131,9.34,5,0.36,0
Saint Lucia,Americas,9961,5424.58,812,442.2,138,132,71.88,16,8.71,0
Gambia,Africa,9848,407.5,59,2.44,0,328,13.57,0,0,0
Nicaragua,Americas,9732,146.91,449,6.78,0,201,3.03,1,0.02,0
Jersey,Europe,9612,8916.84,204,189.25,0,78,72.36,1,0.93,0
Yemen,Eastern Mediterranean,8414,28.21,272,0.91,0,1584,5.31,54,0.18,0
Isle of Man,Europe,7009,8242.78,186,218.74,23,48,56.45,0,0,0
Eritrea,Africa,6657,187.71,9,0.25,2,40,1.13,2,0.06,0
Sierra Leone,Africa,6385,80.04,11,0.14,6,121,1.52,0,0,0
United States Virgin Islands,Americas,6289,6022.5,263,251.86,107,66,63.2,6,5.75,3
Guinea-Bissau,Africa,6022,306,120,6.1,0,125,6.35,4,0.2,0
Niger,Africa,5929,24.49,41,0.17,17,200,0.83,1,0,1
Barbados,Americas,5906,2055.15,557,193.82,62,52,18.09,1,0.35,1
Liberia,Africa,5727,113.23,0,0,0,245,4.84,0,0,0
Gibraltar,Europe,5436,16134.87,44,130.6,5,97,287.91,0,0,0
San Marino,Europe,5399,15908.42,48,141.43,11,90,265.19,0,0,0
Chad,Africa,5019,30.56,21,0.13,1,174,1.06,0,0,0
Brunei,Western Pacific,4323,988.16,859,196.35,160,18,4.11,5,1.14,1
Comoros,Africa,4100,471.48,28,3.22,3,147,16.9,0,0,0
Sint Maarten,Americas,3979,9278.95,155,361.46,32,57,132.92,0,0,0
Saint Martin,Americas,3659,9464.81,115,297.47,115,33,85.36,2,5.17,2
New Zealand,Western Pacific,3610,74.86,153,3.17,17,27,0.56,0,0,0
Bermuda,Americas,3519,5650.92,471,756.35,0,35,56.2,1,1.61,0
Liechtenstein,Europe,3496,9022.63,32,82.59,0,58,149.69,0,0,0
Monaco,Europe,3281,8360.51,41,104.47,5,35,89.19,0,0,0
Sao Tome and Principe,Africa,2825,1289.02,191,87.15,9,39,17.8,2,0.91,0
Turks and Caicos Islands,Americas,2758,7123.3,61,157.55,22,20,51.66,0,0,0
British Virgin Islands,Americas,2642,8737.64,2,6.61,0,37,122.37,0,0,0
Bhutan,South-East Asia,2596,336.44,0,0,0,3,0.39,0,0,0
Saint Vincent and the Grenadines,Americas,2513,2265.19,134,120.79,92,12,10.82,0,0,0
Dominica,Americas,2498,3469.88,500,694.53,218,7,9.72,2,2.78,1
Grenada,Americas,2386,2120.46,1148,1020.24,439,27,24,15,13.33,8
Antigua and Barbuda,Americas,2297,2345.58,427,436.03,131,48,49.02,2,2.04,0
Bonaire,Americas,1897,9070.05,95,454.22,37,17,81.28,0,0,0
Saint Barthélemy,Americas,1613,16317.65,6,60.7,6,2,20.23,0,0,0
Saint Kitts and Nevis,Americas,1476,2774.85,246,462.48,12,7,13.16,2,3.76,1
Guernsey,Europe,1417,2197.99,42,65.15,0,18,27.92,0,0,0
Tanzania,Africa,1367,2.29,0,0,0,50,0.08,0,0,0
New Caledonia,Western Pacific,1286,450.44,1150,402.8,329,4,1.4,4,1.4,3
Faroe Islands,Europe,1041,2130.36,21,42.98,6,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,729,1109.25,38,57.82,0,2,3.04,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Greenland,Europe,395,695.77,42,73.98,0,0,0,0,0,0
Anguilla,Americas,318,2119.72,22,146.65,6,0,0,0,0,0
Northern Mariana Islands,Western Pacific,256,444.78,8,13.9,5,2,3.47,0,0,0
Falkland Is.,Americas,64,1837.5,0,0,0,0,0,0,0,0
Montserrat,Americas,32,640.13,1,20,0,1,20,0,0,0
Saint Pierre and Miquelon,Americas,31,534.94,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,24,764.57,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,11,569.06,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Palau,Western Pacific,3,16.58,1,5.53,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
North Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia,Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
